dt,"[7706] Old Chemistry Building, CHW","[7767] TUNL Bldg., CHW","[7234] East Dorm 1 Blackwell, CHW","[7514] Medical Science Research Bldg II, STEAM","[7701] Duke Chapel, STEAM"
1/1/2017,832.0700073,442.2200012,443.7999878,111714,19896.09961
1/2/2017,879.7299805,500.8900146,512.1599731,108760,19680.09961
1/3/2017,891.789978,641.9400024,524.9500122,108233,14935.2998
1/4/2017,935.4099731,739.8599854,599.3900146,103384,13935.7002
1/5/2017,874.5100098,403.5299988,195.2299957,162053,12995.7998
1/6/2017,871.4899902,446.2399902,171.4600067,158257,10135.2998
1/7/2017,604.1500244,406.1199951,318.019989,209765,29014.40039
1/8/2017,139.3800049,377.2600098,418.8200073,234374,33291.19922
1/9/2017,54.25,369.3099976,536.5999756,233904,33898.80078
1/10/2017,205.2299957,390.6499939,384.6099854,182536,31279.80078
1/11/2017,657.6900024,403.1700134,197,130979,22892.5
1/12/2017,912.8900146,547.2999878,471.9899902,98150.5,10728.2002
1/13/2017,1135.130005,838.8699951,570.4400024,93961.10156,11558.7002
1/14/2017,978.3800049,443.3200073,194.3800049,121871,21731.5
1/15/2017,938.2199707,427.1600037,172.2899933,113568,16432.09961
1/16/2017,910.3699951,433.0400085,149.5399933,118420,19651.80078
1/17/2017,1042.170044,687.5900269,257.8800049,99504.10156,14022.2998
1/18/2017,1179.959961,797.8800049,548.1300049,91681.10156,10104.09961
1/19/2017,1070.119995,521.7299805,281.8999939,115356,16609
1/20/2017,1066.060059,693.4899902,242.5399933,103003,12946.7998
1/21/2017,1075.640015,943.8400269,400.7000122,88997.89844,9718.530273
1/22/2017,1021.679993,967.9000244,282.4599915,89217.70313,9688.820313
1/23/2017,1005.950012,909.4699707,298.9400024,100608,12988.09961
1/24/2017,966.6500244,479.019989,262.9899902,113200,15835.5
1/25/2017,1055.699951,502.4100037,422.3699951,116005,14594.2998
1/26/2017,1107.660034,622.2999878,478.9700012,97975.60156,12073.2998
1/27/2017,970.7399902,611.4199829,165.5399933,138127,19074.59961
1/28/2017,891.0300293,599.6099854,156.3800049,144859,20839.59961
1/29/2017,872.1199951,583.0499878,141.3699951,137252,19283.40039
1/30/2017,895.0800171,444.0700073,169.0399933,159936,21576.69922
1/31/2017,910.5200195,448.4400024,328.2399902,129648,16949.59961
2/1/2017,970.0999756,469.7600098,322.9899902,111457,16304.59961
2/2/2017,986.710022,473.6499939,263,109763,14932.2998
2/3/2017,942.2600098,528.0100098,169.3999939,139827,20830.5
2/4/2017,847.6500244,658.0300293,170.0399933,181603,22287
2/5/2017,829.8499756,653.1199951,215.4400024,140275,18972.5
2/6/2017,967.6599731,453.9700012,415.7399902,112391,14978.7002
