dt,"[7706] Old Chemistry Building, CHW","[7767] TUNL Bldg., CHW","[7234] East Dorm 1 Blackwell, CHW","[7514] Medical Science Research Bldg II, STEAM","[7701] Duke Chapel, STEAM"
1/31/2017,26951.7701,17623.09998,10298.1299,4015300.008,548361.9482
2/28/2017,30326.96985,18504.0701,12922.25981,3052541.797,362601.04
3/31/2017,29754.67999,21192.68997,14137.00997,3512746.008,418102.0293
4/30/2017,48637.8103,30541.84979,28414.42017,2452280.125,307397.5312
5/31/2017,59519.35022,35524.08978,36616.33987,2504071.414,328176.9995
6/30/2017,70288.42004,42215.63013,51180.34003,2484983.602,317308.8623
7/31/2017,86366.5105,50157.15003,66781.16052,2553707.789,313279.2295
8/31/2017,78369.87988,47373.97986,53931.57007,2498475.633,331923.4287
9/30/2017,65851.22925,39262.79974,45132.84985,2317925.305,316853.7192
10/31/2017,50704.97003,30561.50986,34104.28001,2606637.399,301844.9697
11/30/2017,31558.26971,19759.31,13655.66996,3353237.398,352798.0088
12/31/2017,26481.72992,20537.01996,9437.98999,4052547.203,472346.6318
1/31/2018,23732.49011,20161.89008,12372.02991,5045387.898,675620.3017
2/28/2018,28660.15021,21330.40002,19833.41,3308139.398,387867.8994
3/31/2018,25863.55998,19190.21991,14509.08,3781726.398,465651.002
4/30/2018,36094.68,20147.12994,25288.90988,2831545.602,311395.938
5/31/2018,69274.5802,33233.98956,50481.32996,2481284.414,270622.3306
6/30/2018,78606.13013,40712.07983,52205.19031,2283130.313,242915.6191
7/31/2018,83838.09094,44451.08997,58370.01013,2368359.805,256770.9199
8/31/2018,80671.58008,43452.67016,241967.3486,2313003.508,278905.2085
9/30/2018,82412.5791,37399.79023,211857.5298,2341948.703,287265.7598
10/31/2018,53952.39014,32588.07989,35644.74023,2880982.109,309151.0981
11/30/2018,34900.20993,23376.27008,14604.04018,3568085.594,411655.4287
12/31/2018,32885.77008,21494.42999,12131.45993,3853726.203,404569.6621
1/31/2019,33398.1701,20856.77997,12519.13006,4346668.297,469120.4206
2/28/2019,31086.19989,17960.87997,15577.40997,3572355.102,405168.8706
3/31/2019,33590.07019,20504.65997,18773.88011,3743314.992,428703.2998
4/30/2019,47778.07019,29728.75024,33048.58011,2794215.992,307919.2725
5/31/2019,69756.54968,40717.08002,53085.37982,2644688.203,287186.5811
6/30/2019,67703.42029,43036.56006,59628.76056,2565483.086,278039.3096
7/31/2019,68235.4305,49474.84973,70699.54968,2687360,264930.4702
8/31/2019,71740.57947,45588.67993,54470.58997,2661059.813,296737.2783
9/30/2019,63184.1095,40680.07019,49670.76013,2545828.586,281353.0923
10/31/2019,46874.81995,33908.32019,33026.66992,2705263.91,284755.0103
11/30/2019,33226.95026,20664.88989,14875.47008,3820414.102,377809.4004
12/31/2019,36133.89038,22309.52026,14692.36999,3926677.243,461106.1006
1/31/2020,36898.64999,22846.7099,17121.40002,4126164.992,495084.3428
2/29/2020,35461.75,22192,17039.92007,3722916.446,435195.9297
3/31/2020,16611.15991,9722.130004,9708.390076,1461537.016,163507
